Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|##########| 290/290 [00:00<00:00, 14501.22it/s]
loaded; total_mlp_neurons=116736
[capture] task=coding activation shape on layer0: (1, 62, 4864) (B,S,intermediate)
[capture] task=math activation shape on layer0: (1, 20, 4864) (B,S,intermediate)
core neurons: 253
[sweep] step=13/498 control=random seed=0 frac=0.0130 nll_target=0.8207751270383596 acc_target=None elapsed=189.9s
[sweep] step=13/498 control=random seed=1 frac=0.0130 nll_target=0.8553264178335667 acc_target=None elapsed=191.0s
[sweep] step=13/498 control=random seed=2 frac=0.0130 nll_target=0.8223114889115095 acc_target=None elapsed=192.0s
[sweep] step=14/498 control=low seed=None frac=0.0140 nll_target=0.755240073427558 acc_target=None elapsed=193.0s
[sweep] step=14/498 control=random seed=0 frac=0.0140 nll_target=0.8168083671480417 acc_target=None elapsed=194.0s
[sweep] step=14/498 control=random seed=1 frac=0.0140 nll_target=0.8522886894643307 acc_target=None elapsed=195.0s
[sweep] step=14/498 control=random seed=2 frac=0.0140 nll_target=0.8227583095431328 acc_target=None elapsed=195.9s
[sweep] step=15/498 control=low seed=None frac=0.0150 nll_target=0.7606974504888058 acc_target=None elapsed=196.9s
[sweep] step=15/498 control=random seed=0 frac=0.0150 nll_target=0.8296397514641285 acc_target=None elapsed=197.8s
[sweep] step=15/498 control=random seed=1 frac=0.0150 nll_target=0.8658168092370033 acc_target=None elapsed=198.9s
[sweep] step=15/498 control=random seed=2 frac=0.0150 nll_target=0.8331953622400761 acc_target=None elapsed=199.8s
[sweep] step=16/498 control=low seed=None frac=0.0160 nll_target=0.7631992362439632 acc_target=None elapsed=200.8s
[sweep] step=16/498 control=random seed=0 frac=0.0160 nll_target=0.8171151503920555 acc_target=None elapsed=201.8s
[sweep] step=16/498 control=random seed=1 frac=0.0160 nll_target=0.8636034820228815 acc_target=None elapsed=202.7s
[sweep] step=16/498 control=random seed=2 frac=0.0160 nll_target=0.8372392654418945 acc_target=None elapsed=203.7s
[sweep] step=17/498 control=low seed=None frac=0.0170 nll_target=0.757371349260211 acc_target=None elapsed=204.6s
[sweep] step=17/498 control=random seed=0 frac=0.0170 nll_target=0.8164291363209486 acc_target=None elapsed=205.7s
[sweep] step=17/498 control=random seed=1 frac=0.0170 nll_target=0.8802227694541216 acc_target=None elapsed=206.6s
[sweep] step=17/498 control=random seed=2 frac=0.0170 nll_target=0.8522926978766918 acc_target=None elapsed=207.6s
[sweep] step=18/498 control=low seed=None frac=0.0180 nll_target=0.7551946230232716 acc_target=None elapsed=208.5s
[sweep] step=18/498 control=random seed=0 frac=0.0180 nll_target=0.8169975653290749 acc_target=None elapsed=209.5s
[sweep] step=18/498 control=random seed=1 frac=0.0180 nll_target=0.8690082859247923 acc_target=None elapsed=210.5s
[sweep] step=18/498 control=random seed=2 frac=0.0180 nll_target=0.8672245666384697 acc_target=None elapsed=211.4s
[sweep] step=19/498 control=low seed=None frac=0.0190 nll_target=0.7538308538496494 acc_target=None elapsed=212.4s
[sweep] step=19/498 control=random seed=0 frac=0.0190 nll_target=0.790660297498107 acc_target=None elapsed=213.4s
[sweep] step=19/498 control=random seed=1 frac=0.0190 nll_target=0.865289181470871 acc_target=None elapsed=214.4s
[sweep] step=19/498 control=random seed=2 frac=0.0190 nll_target=0.85982446372509 acc_target=None elapsed=215.4s
[sweep] step=20/498 control=low seed=None frac=0.0200 nll_target=0.7482511829584837 acc_target=None elapsed=216.4s
[sweep] step=20/498 control=random seed=0 frac=0.0200 nll_target=0.789938360452652 acc_target=None elapsed=217.3s
[sweep] step=20/498 control=random seed=1 frac=0.0200 nll_target=0.8771756775677204 acc_target=None elapsed=218.3s
[sweep] step=20/498 control=random seed=2 frac=0.0200 nll_target=0.878849433735013 acc_target=None elapsed=219.2s
[sweep] step=21/498 control=low seed=None frac=0.0210 nll_target=0.7496787458658218 acc_target=None elapsed=220.3s
[sweep] step=21/498 control=random seed=0 frac=0.0210 nll_target=0.7902853637933731 acc_target=None elapsed=221.2s
[sweep] step=21/498 control=random seed=1 frac=0.0210 nll_target=0.8788947761058807 acc_target=None elapsed=222.2s
[sweep] step=21/498 control=random seed=2 frac=0.0210 nll_target=0.8961924314498901 acc_target=None elapsed=223.2s
[sweep] step=22/498 control=low seed=None frac=0.0220 nll_target=0.7473665941506624 acc_target=None elapsed=224.2s
[sweep] step=22/498 control=random seed=0 frac=0.0220 nll_target=0.8006821516901255 acc_target=None elapsed=225.2s
[sweep] step=22/498 control=random seed=1 frac=0.0220 nll_target=0.8715451452881098 acc_target=None elapsed=226.1s
[sweep] step=22/498 control=random seed=2 frac=0.0220 nll_target=0.9104627817869186 acc_target=None elapsed=227.0s
[sweep] step=23/498 control=low seed=None frac=0.0231 nll_target=0.7460175734013319 acc_target=None elapsed=228.0s
[sweep] step=23/498 control=random seed=0 frac=0.0231 nll_target=0.8210210967808962 acc_target=None elapsed=229.0s
[sweep] step=23/498 control=random seed=1 frac=0.0231 nll_target=0.8741490207612514 acc_target=None elapsed=230.0s
[sweep] step=23/498 control=random seed=2 frac=0.0231 nll_target=0.9142898786813021 acc_target=None elapsed=231.0s
[sweep] step=24/498 control=low seed=None frac=0.0241 nll_target=0.7426024954766035 acc_target=None elapsed=232.0s
[sweep] step=24/498 control=random seed=0 frac=0.0241 nll_target=0.8208800535649061 acc_target=None elapsed=233.0s
[sweep] step=24/498 control=random seed=1 frac=0.0241 nll_target=0.8668855410069227 acc_target=None elapsed=234.0s
[sweep] step=24/498 control=random seed=2 frac=0.0241 nll_target=0.9025513902306557 acc_target=None elapsed=234.9s
[sweep] step=25/498 control=low seed=None frac=0.0251 nll_target=0.742994761094451 acc_target=None elapsed=235.9s
[sweep] step=25/498 control=random seed=0 frac=0.0251 nll_target=0.8210944421589375 acc_target=None elapsed=236.9s
[sweep] step=25/498 control=random seed=1 frac=0.0251 nll_target=0.8570170160382986 acc_target=None elapsed=237.9s
[sweep] step=25/498 control=random seed=2 frac=0.0251 nll_target=0.9006245359778404 acc_target=None elapsed=238.8s
[sweep] step=26/498 control=low seed=None frac=0.0261 nll_target=0.7382417991757393 acc_target=None elapsed=239.8s
[sweep] step=26/498 control=random seed=0 frac=0.0261 nll_target=0.8182829841971397 acc_target=None elapsed=240.8s
